voyageID,voyageType,person,vesselName,arrivalDate,year,period,placeName,lon,lat,groupURL,groupPic,voyageDescription
1,Kayak adventure,Oskar Speck,Sunnschien,13 May 1932,1932,1932-1950,"Hamburg, Germany",9.993682,53.551085,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,14 May 1932,1932,1932-1950,"Ulm,  Germany",9.993276,48.397394,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,23 May 1932,1932,1932-1950,"Passau, Germany",13.460645,48.574014,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,4 July 1932,1932,1932-1950,"Budapest, Hungry",19.040471,47.498382,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,30 June 1932,1932,1932-1950,"Vienna, Austria",16.373819,48.208174,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,31 October 1932,1932,1932-1950,"Belgrade, Serbia",20.456809,44.817879,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,15 March 1933,1932,1932-1950,"Skopje,Macedonia",21.431796,41.996227,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,12 March 1933,1932,1932-1950,"Veles, Macedonia",21.780199,41.715974,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,1 March 1933,1932,1932-1950,Macedonian-Greek border,21.67619,41.80612,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
1,Kayak adventure,Oskar Speck,Sunnschien,27 March 1933,1932,1932-1950,Salonika (Thessaloniki),22.935272,40.640317,http://collections.anmm.gov.au/collections/83050/oskar-speck,ANMS1249[019].jpg,"Oskar Speck was a German adventurer who paddled his kayak,Sunnschien, from Germany to Australia in the 1930s. His journey took him over 7 years. Arriving on Thursday Island in September 1939 at the outbreak the Second World War, he was arrested as an enemy alien and interned for the duration of the war. After the war he settled in Australia, finally coming to rest at Killcare on the New South Wales central coast."
